sl_no,sl_no_flag,tahsil_name,tahsil_name_flag,junior_basic_villages,junior_basic_villages_flag,junior_basic_schools,junior_basic_schools_flag,senior_basic_villages,senior_basic_villages_flag,senior_basic_schools,senior_basic_schools_flag,higher_secondary_villages,higher_secondary_villages_flag,higher_secondary_schools,higher_secondary_schools_flag,college_villages,college_villages_flag,colleges,colleges_flag,other_edu_villages,other_edu_villages_flag,other_edu_institutions,other_edu_institutions_flag,hospital_villages,hospital_villages_flag,hospitals,hospitals_flag,dispensary_villages,dispensary_villages_flag,dispensaries,dispensaries_flag,mcw_villages,mcw_villages_flag,mcw_centres,mcw_centres_flag,health_centre_villages,health_centre_villages_flag,health_centres,health_centres_flag,family_planning_villages,family_planning_villages_flag,family_planning_centres,family_planning_centres_flag,other_med_villages,other_med_villages_flag,other_med_institutions,other_med_institutions_flag,power_available_villages,power_available_villages_flag,power_not_available_villages,power_not_available_villages_flag,tap_water_villages,tap_water_villages_flag,hand_pipe_villages,hand_pipe_villages_flag,well_villages,well_villages_flag,tank_villages,tank_villages_flag,river_villages,river_villages_flag,fountain_villages,fountain_villages_flag,canal_villages,canal_villages_flag,water_fall_villages,water_fall_villages_flag,lake_villages,lake_villages_flag,tube_well_villages,tube_well_villages_flag,other_water_villages,other_water_villages_flag,no_water_villages,no_water_villages_flag,pucca_road_villages,pucca_road_villages_flag,kachcha_road_villages,kachcha_road_villages_flag,pucca_kachcha_road_villages,pucca_kachcha_road_villages_flag,other_road_villages,other_road_villages_flag,post_office_villages,post_office_villages_flag,post_offices,post_offices_flag,telegraph_office_villages,telegraph_office_villages_flag,telegraph_offices,telegraph_offices_flag,post_telegraph_villages,post_telegraph_villages_flag,post_telegraph_offices,post_telegraph_offices_flag,telephone_villages,telephone_villages_flag,telephones,telephones_flag,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
3,,Bansi,,196,,206,,19,,23,,8,,8,,...,,...,,...,,...,,8,,8,,2,,2,,6,,6,,...,,...,,1,,1,,...,,...,,94,,"1,099",,...,,335,,"1,103",,...,,8,,...,,...,,...,,...,,1,,...,,...,,340,,166,,...,,.,,36,,36,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,2,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
4,,Harraiya,,238,,245,,29,,29,,8,,8,,...,,...,,...,,...,,3,,3,,3,,3,,2,,2,,...,,...,,2,,2,,...,,.,,220,,"1,317",,...,,"1,001",,"1,412",,...,,6,,...,,...,,...,,...,,...,,...,,...,,152,,888,,12,,15,,47,,47,,...,,...,,1,,1,,1,,1,,ORDINARY,,False,3,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
5,,Basti,,273,,292,,25,,27,,13,,13,,...,,...,,9,,9,,14,,14,,1,,1,,7,,7,,...,,...,,4,,4,,...,,...,,608,,886,,...,,27,,"1,355",,...,,.,,...,,...,,...,,...,,...,,...,,...,,553,,469,,6,,51,,40,,40,,...,,...,,3,,3,,2,,2,,ORDINARY,,False,4,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
6,,Khalilabad,,257,,268,,30,,33,,8,,9,,...,,...,,2,,2,,5,,5,,9,,9,,1,,1,,1,,1,,1,,1,,...,,...,,295,,"1,142",,...,,"1,047",,"1,290",,...,,...,,...,,...,,...,,...,,4,,...,,...,,179,,687,,94,,181,,58,,58,,...,,...,,2,,2,,1,,1,,ORDINARY,,False,5,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
,,District Total (Rural),,"1,375",,"1,440",,138,,147,,55,,56,,1,,1,,28,,28,,48,,48,,20,,20,,20,,20,,2,,2,,11,,11,,...,,.,,"1,310",,"6,316",,...,,"3,737",,"6,993",,...,,17,,...,,...,,...,,...,,22,,...,,...,,"1,523",,"3,328",,144,,352,,255,,255,,...,,...,,15,,15,,8,,8,,TOTAL,,False,6,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
1,,Najibabad,,108,,114,,15,,16,,3,,3,,...,,...,,...,,...,,3,,3,,1,,1,,2,,2,,...,,...,,1,,1,,...,,...,,212,,337,,...,,217,,393,,...,,6,,...,,3,,...,,...,,2,,...,,...,,70,,115,,60,,24,,27,,27,,...,,...,,1,,1,,6,,7,,ORDINARY,,False,0,bijnor_tehsil_1971,Bijnor,Uttar Pradesh,1971,format_003,bijnor_tehsil_001,bijnor_tehsil_1971.pdf,de9838dc2236d66e77c795f2176fcbf397eeaf3a518fea736806afbdc9d6c840,325,326,224,305,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:23.938655+00:00
2,,Bijnor,,149,,166,,22,,22,,7,,8,,...,,...,,1,,1,,6,,6,,5,,5,,3,,3,,...,,...,,1,,1,,...,,...,,412,,439,,...,,525,,522,,...,,3,,...,,...,,...,,...,,8,,...,,...,,61,,173,,19,,19,,38,,38,,...,,...,,1,,1,,1,,1,,ORDINARY,,False,1,bijnor_tehsil_1971,Bijnor,Uttar Pradesh,1971,format_003,bijnor_tehsil_001,bijnor_tehsil_1971.pdf,de9838dc2236d66e77c795f2176fcbf397eeaf3a518fea736806afbdc9d6c840,325,326,224,305,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:23.938655+00:00
3,,Nagina,,134,,138,,19,,19,,5,,5,,...,,...,,1,,1,,10,,10,,1,,1,,4,,4,,...,,...,,2,,2,,...,,...,,144,,566,,...,,357,,407,,1,,...,,...,,...,,...,,...,,1,,...,,...,,123,,277,,25,,20,,36,,36,,...,,...,,1,,1,,2,,2,,ORDINARY,,False,2,bijnor_tehsil_1971,Bijnor,Uttar Pradesh,1971,format_003,bijnor_tehsil_001,bijnor_tehsil_1971.pdf,de9838dc2236d66e77c795f2176fcbf397eeaf3a518fea736806afbdc9d6c840,325,326,224,305,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:23.938655+00:00
4,,Dhampur,,218,,236,,32,,33,,9,,12,,1,,1,,...,,...,,11,,11,,20,,23,,1,,1,,...,,...,,3,,3,,...,,...,,471,,475,,...,,556,,667,,...,,1,,...,,...,,...,,...,,3,,...,,...,,201,,302,,75,,20,,54,,54,,...,,...,,3,,3,,2,,2,,ORDINARY,,False,3,bijnor_tehsil_1971,Bijnor,Uttar Pradesh,1971,format_003,bijnor_tehsil_001,bijnor_tehsil_1971.pdf,de9838dc2236d66e77c795f2176fcbf397eeaf3a518fea736806afbdc9d6c840,325,326,224,305,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:23.938655+00:00
,,District Total (Rural),,609,,654,,88,,90,,24,,28,,1,,1,,2,,2,,30,,30,,27,,30,,10,,10,,...,,...,,7,,7,,...,,...,,"1,239",,"1,817",,...,,"1,655",,"1,989",,1,,10,,...,,3,,...,,...,,14,,...,,...,,455,,867,,179,,83,,155,,155,,...,,...,,6,,6,,11,,12,,TOTAL,,False,4,bijnor_tehsil_1971,Bijnor,Uttar Pradesh,1971,format_003,bijnor_tehsil_001,bijnor_tehsil_1971.pdf,de9838dc2236d66e77c795f2176fcbf397eeaf3a518fea736806afbdc9d6c840,325,326,224,305,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:23.938655+00:00
1,,Gunnaur,,127,,150,,14,,19,,8,,8,,...,,...,,...,,...,,7,,7,,9,,9,,,,,,,,,,2,,2,,,,...,,17,,368,,,,313,,315,,,,,,,,,,,,,,6,,,,,,10,,274,,30,,10,,24,,24,,...,,,,4,,4,,...,,,,ORDINARY,,False,0,budaun_tehsil_1971,Budaun,Uttar Pradesh,1971,format_003,budaun_tehsil_001,budaun_tehsil_1971.pdf,cfe596e84194b0008112624a6a96c07d2a2d2d98c6c6c240b464d626a63af20e,236,237,218,219,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:32.820064+00:00
2,,Bisauli,,182,,218,,21,,21,,2,,2,,4,,4,,1,,1,,7,,7,,9,,9,,,,,,,,,,2,,2,,,,...,,17,,368,,,,313,,315,,,,,,,,,,,,,,6,,,,,,10,,274,,30,,10,,24,,24,,...,,,,4,,4,,...,,,,ORDINARY,,False,1,budaun_tehsil_1971,Budaun,Uttar Pradesh,1971,format_003,budaun_tehsil_001,budaun_tehsil_1971.pdf,cfe596e84194b0008112624a6a96c07d2a2d2d98c6c6c240b464d626a63af20e,236,237,218,219,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:32.820064+00:00
3,,Sahaswan,,142,,146,,14,,17,,...,,...,,...,,...,,4,,4,,7,,7,,9,,9,,,,,,,,,,2,,2,,,,...,,17,,368,,,,313,,315,,,,,,,,,,,,,,6,,,,,,10,,274,,30,,10,,24,,24,,...,,,,4,,4,,...,,,,ORDINARY,,False,2,budaun_tehsil_1971,Budaun,Uttar Pradesh,1971,format_003,budaun_tehsil_001,budaun_tehsil_1971.pdf,cfe596e84194b0008112624a6a96c07d2a2d2d98c6c6c240b464d626a63af20e,236,237,218,219,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:32.820064+00:00
4,,Budaun,,178,,197,,22,,26,,2,,3,,1,,1,,1,,1,,7,,7,,9,,9,,,,,,,,,,2,,2,,,,...,,17,,368,,,,313,,315,,,,,,,,,,,,,,6,,,,,,10,,274,,30,,10,,24,,24,,...,,,,4,,4,,...,,,,ORDINARY,,False,3,budaun_tehsil_1971,Budaun,Uttar Pradesh,1971,format_003,budaun_tehsil_001,budaun_tehsil_1971.pdf,cfe596e84194b0008112624a6a96c07d2a2d2d98c6c6c240b464d626a63af20e,236,237,218,219,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:32.820064+00:00
5,,Dataganj,,155,,177,,15,,15,,...,,...,,1,,1,,...,,...,,7,,7,,9,,9,,,,,,,,,,2,,2,,,,...,,17,,368,,,,313,,315,,,,,,,,,,,,,,6,,,,,,10,,274,,30,,10,,24,,24,,...,,,,4,,4,,...,,,,ORDINARY,,False,4,budaun_tehsil_1971,Budaun,Uttar Pradesh,1971,format_003,budaun_tehsil_001,budaun_tehsil_1971.pdf,cfe596e84194b0008112624a6a96c07d2a2d2d98c6c6c240b464d626a63af20e,236,237,218,219,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:32.820064+00:00
,,District Total (Rural),,784,,888,,86,,98,,12,,13,,6,,6,,6,,6,,7,,7,,9,,9,,,,,,,,,,2,,2,,,,...,,17,,368,,,,313,,315,,,,,,,,,,,,,,6,,,,,,10,,274,,30,,10,,24,,24,,...,,,,4,,4,,...,,,,TOTAL,,False,5,budaun_tehsil_1971,Budaun,Uttar Pradesh,1971,format_003,budaun_tehsil_001,budaun_tehsil_1971.pdf,cfe596e84194b0008112624a6a96c07d2a2d2d98c6c6c240b464d626a63af20e,236,237,218,219,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:32.820064+00:00
1,,Sikandrabad,,216,,231,,40,,40,,3,,3,,...,,...,,...,,...,,8,,8,,13,,13,,...,,...,,...,,...,,1,,1,,...,,...,,179,,265,,...,,339,,398,,5,,5,,...,,12,,...,,...,,3,,1,,...,,93,,276,,16,,68,,35,,35,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,0,bulandshahr_tehsil_1971,Bulandshahr,Uttar Pradesh,1971,format_003,bulandshahr_tehsil_001,bulandshahr_tehsil_1971.pdf,be522ddb50313485c7c35fc2091fb6eeda144199f3a062185cd8d86fd91f77e9,177,178,160,161,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:46:21.316391+00:00
2,,Bulandshahr,,230,,264,,26,,30,,14,,14,,...,,...,,1,,1,,8,,8,,2,,2,,7,,7,,...,,...,,8,,8,,...,,...,,312,,94,,...,,299,,388,,4,,...,,...,,...,,...,,...,,...,,...,,...,,169,,190,,24,,4,,63,,63,,...,,...,,2,,2,,...,,...,,ORDINARY,,False,1,bulandshahr_tehsil_1971,Bulandshahr,Uttar Pradesh,1971,format_003,bulandshahr_tehsil_001,bulandshahr_tehsil_1971.pdf,be522ddb50313485c7c35fc2091fb6eeda144199f3a062185cd8d86fd91f77e9,177,178,160,161,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:46:21.316391+00:00
3,,Khurja,,187,,217,,21,,22,,13,,15,,...,,...,,...,,...,,6,,6,,5,,5,,5,,5,,1,,1,,3,,3,,...,,...,,132,,220,,...,,334,,357,,...,,...,,...,,...,,...,,...,,...,,...,,...,,114,,135,,9,,18,,49,,49,,...,,...,,2,,2,,1,,...,,ORDINARY,,False,2,bulandshahr_tehsil_1971,Bulandshahr,Uttar Pradesh,1971,format_003,bulandshahr_tehsil_001,bulandshahr_tehsil_1971.pdf,be522ddb50313485c7c35fc2091fb6eeda144199f3a062185cd8d86fd91f77e9,177,178,160,161,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:46:21.316391+00:00
4,,Anupshahr,,209,,214,,24,,24,,14,,15,,...,,...,,...,,...,,16,,16,,1,,1,,4,,4,,1,,1,,1,,1,,...,,...,,291,,132,,...,,289,,366,,...,,8,,...,,9,,...,,...,,...,,1,,...,,186,,144,,13,,17,,55,,55,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,3,bulandshahr_tehsil_1971,Bulandshahr,Uttar Pradesh,1971,format_003,bulandshahr_tehsil_001,bulandshahr_tehsil_1971.pdf,be522ddb50313485c7c35fc2091fb6eeda144199f3a062185cd8d86fd91f77e9,177,178,160,161,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:46:21.316391+00:00
,,District Total (Rural),,842,,926,,111,,116,,44,,47,,...,,...,,1,,1,,33,,33,,21,,21,,16,,16,,2,,2,,13,,13,,...,,...,,934,,711,,...,,"1,261",,"1,510",,17,,5,,...,,21,,...,,...,,3,,2,,...,,512,,745,,62,,107,,202,,202,,...,,...,,6,,6,,1,,...,,TOTAL,,False,4,bulandshahr_tehsil_1971,Bulandshahr,Uttar Pradesh,1971,format_003,bulandshahr_tehsil_001,bulandshahr_tehsil_1971.pdf,be522ddb50313485c7c35fc2091fb6eeda144199f3a062185cd8d86fd91f77e9,177,178,160,161,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:46:21.316391+00:00
1,,Joshimath,,52,,53,,1,,1,,4,,4,,...,,...,,...,,...,,9,,9,,...,,...,,4,,4,,2,,2,,...,,...,,...,,...,,...,,93,,38,,...,,1,,...,,6,,47,,...,,...,,...,,...,,...,,...,,19,,71,,48,,...,,18,,18,,...,,...,,...,,...,,...,,...,,ORDINARY,,False,0,chamoli_tehsil_1971,Chamoli,Uttar Pradesh,1971,format_003,chamoli_tehsil_001,chamoli_tehsil_1971.pdf,ab2a7aa0c24524ffa75d611927e7e92c9cc25e11d5eb9e071589ace5fdbb405c,168,169,154,155,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:50:12.439359+00:00
2,,Karan Prayag,,194,,201,,23,,23,,6,,6,,...,,...,,...,,...,,20,,20,,1,,1,,8,,8,,2,,2,,4,,4,,3,,3,,7,,806,,314,,...,,46,,1,,27,,63,,6,,269,,...,,...,,81,,...,,74,,611,,...,,...,,54,,54,,...,,...,,3,,3,,...,,...,,ORDINARY,,False,1,chamoli_tehsil_1971,Chamoli,Uttar Pradesh,1971,format_003,chamoli_tehsil_001,chamoli_tehsil_1971.pdf,ab2a7aa0c24524ffa75d611927e7e92c9cc25e11d5eb9e071589ace5fdbb405c,168,169,154,155,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:50:12.439359+00:00
3,,Chamoli,,133,,137,,11,,11,,5,,5,,1,,1,,...,,...,,4,,4,,4,,4,,6,,6,,1,,1,,3,,3,,1,,1,,5,,412,,99,,...,,15,,...,,148,,120,,1,,19,,...,,...,,9,,...,,50,,323,,...,,...,,26,,26,,...,,...,,3,,3,,1,,1,,ORDINARY,,False,2,chamoli_tehsil_1971,Chamoli,Uttar Pradesh,1971,format_003,chamoli_tehsil_001,chamoli_tehsil_1971.pdf,ab2a7aa0c24524ffa75d611927e7e92c9cc25e11d5eb9e071589ace5fdbb405c,168,169,154,155,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:50:12.439359+00:00
4,,Ukhimath,,113,,117,,9,,9,,8,,9,,...,,...,,...,,...,,4,,4,,5,,5,,4,,4,,2,,2,,...,,...,,...,,...,,15,,311,,183,,...,,11,,...,,125,,2,,1,,...,,...,,...,,...,,...,,42,,249,,10,,...,,59,,59,,...,,...,,...,,...,,...,,...,,ORDINARY,,False,3,chamoli_tehsil_1971,Chamoli,Uttar Pradesh,1971,format_003,chamoli_tehsil_001,chamoli_tehsil_1971.pdf,ab2a7aa0c24524ffa75d611927e7e92c9cc25e11d5eb9e071589ace5fdbb405c,168,169,154,155,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:50:12.439359+00:00
,,Grand Total,,492,,508,,44,,44,,23,,24,,1,,1,,...,,...,,37,,37,,10,,10,,22,,22,,7,,7,,7,,7,,4,,4,,27,,"1,622",,634,,...,,73,,1,,306,,232,,8,,288,,...,,...,,90,,...,,185,,"1,254",,58,,...,,157,,157,,...,,...,,6,,6,,1,,1,,TOTAL,,False,4,chamoli_tehsil_1971,Chamoli,Uttar Pradesh,1971,format_003,chamoli_tehsil_001,chamoli_tehsil_1971.pdf,ab2a7aa0c24524ffa75d611927e7e92c9cc25e11d5eb9e071589ace5fdbb405c,168,169,154,155,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:50:12.439359+00:00
1,,Chakrata,,130,,132,,16,,16,,...,,...,,...,,...,,...,,...,,6,,6,,9,,12,,8,,8,,2,,2,,2,,2,,2,,2,,5,,374,,228,,1,,30,,...,,8,,68,,8,,10,,...,,...,,34,,...,,23,,351,,5,,...,,27,,27,,...,,...,,4,,4,,5,,5,,ORDINARY,,False,0,dehra_dun_tehsil_1971,Dehra Dun,Uttar Pradesh,1971,format_003,dehra_dun_tehsil_001,dehra_dun_tehsil_1971.pdf,4a453b28c0c5d59d1ee0dd8a30683338b2ab05303082e95dd8e1f5703ea64dd3,117,118,96,97,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:54:21.801905+00:00
2,,Dehra Dun,,181,,227,,27,,29,,12,,14,,...,,...,,...,,...,,6,,6,,11,,11,,5,,5,,2,,2,,5,,5,,...,,...,,95,,297,,136,,30,,82,,4,,86,,75,,52,,...,,...,,10,,9,,...,,31,,214,,95,,24,,37,,37,,...,,...,,7,,7,,9,,9,,ORDINARY,,False,1,dehra_dun_tehsil_1971,Dehra Dun,Uttar Pradesh,1971,format_003,dehra_dun_tehsil_001,dehra_dun_tehsil_1971.pdf,4a453b28c0c5d59d1ee0dd8a30683338b2ab05303082e95dd8e1f5703ea64dd3,117,118,96,97,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:54:21.801905+00:00
,,District Total (Rural),,311,,359,,43,,45,,12,,14,,...,,...,,...,,...,,12,,12,,20,,23,,13,,13,,4,,4,,7,,7,,2,,2,,100,,671,,364,,31,,112,,4,,94,,143,,60,,10,,...,,10,,43,,...,,54,,565,,100,,24,,64,,64,,...,,...,,11,,11,,14,,14,,TOTAL,,False,2,dehra_dun_tehsil_1971,Dehra Dun,Uttar Pradesh,1971,format_003,dehra_dun_tehsil_001,dehra_dun_tehsil_1971.pdf,4a453b28c0c5d59d1ee0dd8a30683338b2ab05303082e95dd8e1f5703ea64dd3,117,118,96,97,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:54:21.801905+00:00
1,,Hata,,273,,277,,38,,38,,10,,10,,4,,4,,2,,...,,4,,4,,9,,9,,...,,...,,3,,3,,...,,...,,...,,...,,155,,565,,...,,483,,679,,1,,53,,...,,...,,...,,29,,...,,...,,...,,104,,482,,36,,52,,60,,60,,...,,...,,5,,5,,1,,1,,ORDINARY,,False,0,deoria_tehsil_1971,Deoria,Uttar Pradesh,1971,format_003,deoria_tehsil_001,deoria_tehsil_1971.pdf,9baeec9d9c0555f807020692d2db4a50483b257052e61cbb43f4b9414776c49a,381,382,364,365,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:57:42.809714+00:00
2,,Padrauna,,321,,323,,40,,40,,9,,9,,2,,2,,...,,...,,6,,6,,4,,4,,...,,...,,3,,3,,3,,3,,...,,...,,141,,761,,...,,302,,842,,...,,...,,...,,...,,...,,12,,...,,...,,...,,106,,632,,6,,15,,45,,45,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,1,deoria_tehsil_1971,Deoria,Uttar Pradesh,1971,format_003,deoria_tehsil_001,deoria_tehsil_1971.pdf,9baeec9d9c0555f807020692d2db4a50483b257052e61cbb43f4b9414776c49a,381,382,364,365,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:57:42.809714+00:00
3,,Deoria,,329,,332,,51,,51,,16,,16,,2,,2,,...,,...,,8,,8,,8,,8,,1,,1,,...,,1,,1,,...,,...,,...,,367,,588,,...,,538,,915,,...,,...,,...,,...,,...,,...,,...,,...,,...,,326,,581,,4,,3,,55,,55,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,2,deoria_tehsil_1971,Deoria,Uttar Pradesh,1971,format_003,deoria_tehsil_001,deoria_tehsil_1971.pdf,9baeec9d9c0555f807020692d2db4a50483b257052e61cbb43f4b9414776c49a,381,382,364,365,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:57:42.809714+00:00
